"id","year","state_name","state_code","district_name","district_code","registration_circles","male_below_12_years","male_12_years_to_16_years","male_16_years_to_18_years","male_children","male_18_years_and_above","female_below_12_years","female_12_years_to_16_years","female_16_years_to_18_years","female_children","female_18_years_and_above","transgender_below_12_years","transgender_12_years_to_16_years","transgender_16_years_to_18_years","transgender_children","transgender_18_years_and_above"
253,"2021","Himachal Pradesh","02","Solan","025","Solan",0.0,1.0,0.0,1.0,31.0,1.0,12.0,24.0,37.0,83.0,0.0,0.0,0.0,0.0,0.0
254,"2021","Himachal Pradesh","02","Una","026","Una",3.0,5.0,1.0,9.0,17.0,0.0,9.0,12.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0
255,"2021","Himachal Pradesh","02","Shimla","023","Cyber",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,"2021","Jammu And Kashmir","01","Anantnag","001","Anantnag",0.0,0.0,0.0,0.0,49.0,0.0,0.0,17.0,17.0,37.0,0.0,0.0,0.0,0.0,0.0
257,"2021","Jammu And Kashmir","01","Pulwama","011","Awantipora",0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
258,"2021","Jammu And Kashmir","01","Bandipora","623","Bandipora",0.0,1.0,1.0,2.0,9.0,2.0,3.0,1.0,6.0,36.0,0.0,0.0,0.0,0.0,0.0
259,"2021","Jammu And Kashmir","01","Baramulla","003","Baramulla",0.0,0.0,0.0,0.0,0.0,0.0,29.0,34.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
260,"2021","Jammu And Kashmir","01","Budgam","002","Budgam",3.0,0.0,0.0,3.0,32.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
261,"2021","Jammu And Kashmir","01","Jammu","005","Crime Jammu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,"2021","Jammu And Kashmir","01","Jammu","005","Crime Srinagar",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,"2021","Jammu And Kashmir","01","Doda","004","Doda",0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
264,"2021","Jammu And Kashmir","01","Ganderbal","626","Ganderbal",0.0,1.0,1.0,2.0,19.0,0.0,1.0,5.0,6.0,30.0,0.0,0.0,0.0,0.0,0.0
265,"2021","Jammu And Kashmir","01","Kupwara","008","Handwara",0.0,0.0,4.0,4.0,8.0,0.0,0.0,1.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0
